event_id,event_date,data_group,source_name,satellite_or_instrument,required_start_ut,required_end_ut,required_files_or_patterns,priority,reason
validation_20140219,2014-02-19,ssusi,DMSP SSUSI,DMSP_SSUSI,2014-02-18T00:00:00,2014-02-21T00:00:00,dmspf*_ssusi_*_2014049*.nc;dmspf*_ssusi_*_2014050*.nc;dmspf*_ssusi_*_2014051*.nc,support_or_context,auroral boundary and optional O/N2-sensitive support
validation_20140219,2014-02-19,indices,OMNI/SYM-H/AE/Dst/Kp,Geomagnetic_indices,2014-02-18T00:00:00,2014-02-21T00:00:00,OMNI/SYM-H/AE/Dst/Kp covering 2014-02-18;OMNI/SYM-H/AE/Dst/Kp covering 2014-02-19;OMNI/SYM-H/AE/Dst/Kp covering 2014-02-20,required_for_primary_GUVI_statistics,storm and substorm phase tagging
validation_20111025,2011-10-25,guvi_on2,TIMED/GUVI L3 O/N2,TIMED_GUVI,2011-10-24T00:00:00,2011-10-27T00:00:00,timed_guvi_l3-on2_2011297_*.nc;timed_guvi_l3-on2_2011298_*.nc;timed_guvi_l3-on2_2011299_*.nc,required_for_primary_GUVI_statistics,main O/N2 source
validation_20111025,2011-10-25,dmsp_ssies,DMSP SSIES,DMSP_F16_F17_F18_F19,2011-10-24T00:00:00,2011-10-27T00:00:00,dms_20111024_*s1.001.nc;dms_20111025_*s1.001.nc;dms_20111026_*s1.001.nc,required_for_primary_GUVI_statistics,ion drift and SAPS crossing detection
validation_20111025,2011-10-25,superdarn,SuperDARN map/fit/grid or quick-look,SuperDARN,2011-10-24T00:00:00,2011-10-27T00:00:00,convection_maps_*_20111024_*.png OR SuperDARN map/fit/grid 20111024;convection_maps_*_20111025_*.png OR SuperDARN map/fit/grid 20111025;convection_maps_*_20111026_*.png OR SuperDARN map/fit/grid 20111026,support_or_context,two-dimensional SAPS channel support
validation_20111025,2011-10-25,ssusi,DMSP SSUSI,DMSP_SSUSI,2011-10-24T00:00:00,2011-10-27T00:00:00,dmspf*_ssusi_*_2011297*.nc;dmspf*_ssusi_*_2011298*.nc;dmspf*_ssusi_*_2011299*.nc,support_or_context,auroral boundary and optional O/N2-sensitive support
validation_20111025,2011-10-25,indices,OMNI/SYM-H/AE/Dst/Kp,Geomagnetic_indices,2011-10-24T00:00:00,2011-10-27T00:00:00,OMNI/SYM-H/AE/Dst/Kp covering 2011-10-24;OMNI/SYM-H/AE/Dst/Kp covering 2011-10-25;OMNI/SYM-H/AE/Dst/Kp covering 2011-10-26,required_for_primary_GUVI_statistics,storm and substorm phase tagging
validation_20130630,2013-06-30,guvi_on2,TIMED/GUVI L3 O/N2,TIMED_GUVI,2013-06-29T00:00:00,2013-07-02T00:00:00,timed_guvi_l3-on2_2013180_*.nc;timed_guvi_l3-on2_2013181_*.nc;timed_guvi_l3-on2_2013182_*.nc,required_for_primary_GUVI_statistics,main O/N2 source
validation_20130630,2013-06-30,dmsp_ssies,DMSP SSIES,DMSP_F16_F17_F18_F19,2013-06-29T00:00:00,2013-07-02T00:00:00,dms_20130629_*s1.001.nc;dms_20130630_*s1.001.nc;dms_20130701_*s1.001.nc,required_for_primary_GUVI_statistics,ion drift and SAPS crossing detection
validation_20130630,2013-06-30,superdarn,SuperDARN map/fit/grid or quick-look,SuperDARN,2013-06-29T00:00:00,2013-07-02T00:00:00,convection_maps_*_20130629_*.png OR SuperDARN map/fit/grid 20130629;convection_maps_*_20130630_*.png OR SuperDARN map/fit/grid 20130630;convection_maps_*_20130701_*.png OR SuperDARN map/fit/grid 20130701,support_or_context,two-dimensional SAPS channel support
validation_20130630,2013-06-30,ssusi,DMSP SSUSI,DMSP_SSUSI,2013-06-29T00:00:00,2013-07-02T00:00:00,dmspf*_ssusi_*_2013180*.nc;dmspf*_ssusi_*_2013181*.nc;dmspf*_ssusi_*_2013182*.nc,support_or_context,auroral boundary and optional O/N2-sensitive support
validation_20130630,2013-06-30,indices,OMNI/SYM-H/AE/Dst/Kp,Geomagnetic_indices,2013-06-29T00:00:00,2013-07-02T00:00:00,OMNI/SYM-H/AE/Dst/Kp covering 2013-06-29;OMNI/SYM-H/AE/Dst/Kp covering 2013-06-30;OMNI/SYM-H/AE/Dst/Kp covering 2013-07-01,required_for_primary_GUVI_statistics,storm and substorm phase tagging
